choix;couleur
abstention;#FFFFFF
Alexis CORBIERE;#DC2A1B
blanc;#FFFFFF
Christel KEISER;#DC2A1B
Claudine ANTONINI;#16C319
Gaylord LE CHEQUER;#DC2A1B
Genevieve REIMERINGER;#DC2A1B
Halima MENHOUDJ;#7C16C3
Hugues LEFORESTIER;#EA40C9
Jean-Pierre BRARD;#DC2A1B
Jerome MICUCCI;#727272
Jimmy PARAT;#727272
Majid LAGNAOUI;#727272
Manon LAPORTE;#1A2DBA
Marie-Ange DONADIEU;#727272
Nadia BELAALA;#16C319
Nathalie LABBE;#DC2A1B
nul;#FFFFFF
Pierre SERNE;#16C319
Razzy HAMMADI;#EA40C9
Sebastien JOLIVET;#000F7C
Sylvette MINNAERT;#DC2A1B
Thierry PORRO;#16C319
Vincent GLENN;#727272
