num_bureau;Abtention;total;taux_abstention
1;199;905;21.99
2;257;1102;23.32
3;233;1023;22.78
4;255;1018;25.05
5;285;1025;27.8
6;208;1051;19.79
7;184;913;20.15
8;116;654;17.74
9;198;956;20.71
10;209;1079;19.37
11;197;1077;18.29
12;165;1001;16.48
13;231;1015;22.76
14;161;968;16.63
15;196;1112;17.63
16;190;1025;18.54
17;323;1209;26.72
18;198;939;21.09
19;175;1011;17.31
20;232;847;27.39
21;239;978;24.44
22;372;1259;29.55
23;352;1156;30.45
24;333;1041;31.99
25;323;1054;30.65
26;357;956;37.34
27;292;1041;28.05
28;393;1045;37.61
29;340;1055;32.23
30;338;1120;30.18
31;209;634;32.97
32;201;979;20.53
33;251;1142;21.98
34;195;913;21.36
35;248;1064;23.31
36;301;926;32.51
37;201;879;22.87
38;303;1047;28.94
39;244;1188;20.54
40;153;786;19.47
41;283;1071;26.42
42;322;1043;30.87
43;385;1085;35.48
44;207;1031;20.08
45;174;902;19.29
46;190;947;20.06
47;234;1035;22.61
48;341;1049;32.51
49;258;1058;24.39
50;279;894;31.21
51;316;1069;29.56
52;326;1083;30.1
53;230;1126;20.43
54;313;988;31.68
55;199;1091;18.24
56;168;967;17.37
57;162;942;17.2
